Period,Sensor,Vegetation,North,West,Calendar Day,Hour,Temp,Humidity,Precipitation,AcouOccupancy_left,Bioac_left,Ht_left,Hf_left,H_left,ACI_left,AEI_villa_left,M_left,NDSI_left,ADI_left,npic_left
1,9219,Riparian,39.98615,86.04456,20150419,22,62.1,97,0.5,0.279078769,47.76313828,0.970231627,0.967907366,0.939094338,2070.899511,0.854067,7.75E-12,0.437077511,1.30561,1
1,9219,Riparian,39.98615,86.04456,20150419,23,62.2,94,0.54,0.5628024,49.64218946,0.949830852,0.9682006,0.919626801,2264.468055,0.562061,6.14E-12,0.59828792,1.615883,4
1,9219,Riparian,39.98615,86.04456,20150509,0,68.7,83,0,0.546158312,30.94527601,0.980807038,0.97583815,0.957108925,1800.879659,0.778508,9.72E-12,-0.398840237,1.881054,4
1,9219,Riparian,39.98615,86.04456,20150509,1,68.5,84,0,1,30.76619502,0.980718572,0.975058407,0.956257889,1808.460584,0.49155,9.76E-12,-0.3201827,2.658043,2
1,9219,Riparian,39.98615,86.04456,20150509,2,68.2,87,0,1,30.34023711,0.981147451,0.975253219,0.95686721,1802.493712,0.478354,9.80E-12,0.769477721,2.668184,8
1,9219,Riparian,39.98615,86.04456,20150509,3,67.8,88,0,1,30.95849921,0.981101137,0.975540135,0.957103535,1806.35667,0.423132,9.79E-12,0.088662392,2.738924,1
1,9219,Riparian,39.98615,86.04456,20150509,4,67.3,92,0.01,0.884265531,31.61464378,0.976917085,0.975837359,0.953312188,1795.819906,0.641952,9.00E-12,0.724867521,1.570406,1
1,9219,Riparian,39.98615,86.04456,20150509,5,67.8,90,0.01,1,31.96990789,0.98078098,0.976082959,0.957323601,1808.265347,0.327584,9.77E-12,0.72155598,2.590008,3
1,9219,Riparian,39.98615,86.04456,20150509,6,67.8,90,0.01,1,33.47063323,0.980418556,0.974170831,0.95509516,1797.953547,0.444092,9.65E-12,0.662870563,2.461721,3
1,9219,Riparian,39.98615,86.04456,20150509,7,67.8,90,0.01,1,41.37737493,0.980597553,0.966776145,0.948018322,1824.161011,0.40007,9.63E-12,0.848911195,2.721818,7
